triggerName,HTlow,HThigh,year,mu,sigma,syst
PFMETOR_Efficiency_18_HTBin1000_,-1,-1,-1,166.03192649016665,70.92634625179423,nom
PFMETOR_Efficiency_18_HTBin1000_,-1,-1,-1,163.18636982449277,69.1863635032767,up
PFMETOR_Efficiency_18_HTBin1000_,-1,-1,-1,169.10142911074712,73.00511004484662,down
PFMETOR_Efficiency_18_HTBin500_700,-1,-1,-1,189.18040883999862,40.841666439449774,nom
PFMETOR_Efficiency_18_HTBin500_700,-1,-1,-1,188.0074187725412,40.384019155338095,up
PFMETOR_Efficiency_18_HTBin500_700,-1,-1,-1,190.4247434685712,41.349431543174575,down
PFMETOR_Efficiency_18_HTBin700_1000,-1,-1,-1,183.50647410812522,52.14759322779385,nom
PFMETOR_Efficiency_18_HTBin700_1000,-1,-1,-1,181.85045928187435,51.42366442088286,up
PFMETOR_Efficiency_18_HTBin700_1000,-1,-1,-1,185.24604503905448,52.93734188365963,down
PFMETOR_Efficiency_18_HTBin_500,-1,-1,-1,189.7842099116412,30.487188717736153,nom
PFMETOR_Efficiency_18_HTBin_500,-1,-1,-1,188.80899273575764,30.138973911648918,up
PFMETOR_Efficiency_18_HTBin_500,-1,-1,-1,190.83488934541919,30.872715014077798,down
